customer_id,name,email,city,country,signup_date
1,Allison Hill,donaldgarcia@example.net,New Roberttown,Bermuda,2025-02-10
2,Lance Hoffman,lrobinson@example.com,Port Lindachester,Guam,2025-03-28
3,Tyler Rogers,jamesmichael@example.com,Lindsaymouth,Mauritania,2024-11-29
4,Jamie Arnold,barbara10@example.net,Port Keith,Belgium,2026-06-20
5,Brian Ramirez,francisco53@example.net,Jacquelineland,New Caledonia,2025-12-31
6,Nicholas Martin,onelson@example.net,Lake Mark,Seychelles,2026-04-19
7,Rodney Trujillo,nadams@example.net,Jasonfort,Indonesia,2026-07-13
8,Judy Baker,julieryan@example.net,Hurstfurt,Guyana,2025-02-11
9,Brenda Snyder PhD,hernandezernest@example.net,Carlsonfurt,Hong Kong,2025-11-30
10,Kendra Maddox DVM,frazierdanny@example.net,Kaylamouth,Bouvet Island (Bouvetoya),2025-04-09
11,Jesse Mckay,teresa28@example.org,Meaganhaven,New Caledonia,2025-01-26
12,Phillip Ryan,georgetracy@example.org,Natashaport,Dominican Republic,2024-10-08
13,Keith Miller,wcabrera@example.net,East Donna,Yemen,2025-10-26
14,Joseph Obrien,sarahcampos@example.net,Lake Larry,Paraguay,2026-01-11
15,Steven Hayes,jeffreymorgan@example.net,New Jeffrey,Barbados,2026-02-25
16,Crystal Whitehead,chad34@example.net,Lewisberg,Saint Kitts and Nevis,2026-08-21
17,Laura Sanchez,maguirre@example.org,Lake Ryanchester,Isle of Man,2025-08-22
18,Amy Valdez,brownjessica@example.org,East James,Kiribati,2024-12-11
19,Donald Wright,ramosmichelle@example.net,North Deniseside,Taiwan,2024-09-05
20,Tammy Allison,richardolson@example.com,East Nicholasfurt,Estonia,2026-08-14
21,Jordan Henderson,smoore@example.org,New Jillton,San Marino,2025-04-25
22,Kevin Shaw,brianromero@example.org,New Carlosbury,Iraq,2024-11-26
23,Laura Riley,harveyrobert@example.net,Sarahborough,Paraguay,2026-03-04
24,Derek Anderson,stephen10@example.com,North Amandahaven,Estonia,2024-12-05
25,Shirley Suarez,justin78@example.net,Cherylhaven,Algeria,2026-01-25
26,Elizabeth Alvarado,josephpreston@example.net,West Juan,Cote d'Ivoire,2026-03-05
27,Michael Farrell,dking@example.org,Calderonton,Afghanistan,2025-05-11
28,Mandy Green,barnold@example.net,North Charlesberg,Mayotte,2024-09-21
29,Lauren Hernandez,bobbydiaz@example.org,Jasonbury,Papua New Guinea,2024-11-12
30,Justin Baxter,sarayoung@example.org,South Angel,Saint Pierre and Miquelon,2026-08-13
31,Timothy Pham,josephcobb@example.org,Brennanfort,Cyprus,2025-01-27
32,Julia Torres,jeffreykeller@example.com,Joshualand,Sierra Leone,2025-03-29
33,Jordan Frazier,sheila14@example.org,Benjaminchester,Guatemala,2026-03-13
